Startdatum;Enddatum;Portfolioname;Währung;Kampagnen-Name;Anzeigengruppenname;Ausrichtung;Übereinstimmungstyp;Suchbegriff des Kunden;Impressionen;Klicks;Klickrate (CTR);Kosten pro Klick (CPC);Ausgaben;7 Tage, Umsatz gesamt (€);Gesamtumsatzkosten für Werbung (ACOS) ;Gesamtrendite von Werbeausgaben (Return on Advertising Spend, ROAS);7 Tage, Aufträge gesamt (#);7 Tage, Einheiten gesamt (#);7-Tage-Konversionsrate;7 Tage, Beworbene SKU-Einheiten (#);7-Tage, Andere SKU-Einheiten (#);7 Tage, Beworbene SKU-Umsätze (€);7-Tage, Andere SKU-Umsätze (€)
Apr 09, 2023;Mai 09, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group EXACT Match;badewanne tablett;EXACT;badewanne tablett;574;11;1,9164%;€0,55;€6,07;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 09, 2023;Mai 30, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group EXACT Match;badewanne tablett;EXACT;badewannen tablett;334;11;3,2934%;€0,58;€6,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 22, 2023;Apr 22, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group BROAD Match;badewanne tablett;BROAD;badewanne caddy tablett;4;1;25,0000%;€0,34;€0,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 08, 2023;Mai 02, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group BROAD Match;badewanne tablett;BROAD;badewannen tablett holz;671;9;1,3413%;€0,23;€2,05;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 09, 2023;Mai 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group BROAD Match;badewanne tablett;BROAD;tablett badewanne;28;2;7,1429%;€0,25;€0,50;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 13, 2023;Apr 13, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group BROAD Match;badewanne tablett;BROAD;tablett badewanne xxl;1;1;100,0000%;€0,24;€0,24;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 06, 2023;Mai 06, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group BROAD Match;badewanne tablett;BROAD;tablett fuer badewanne;4;1;25,0000%;€0,16;€0,16;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 15, 2023;Apr 15, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group BROAD Match;badewanne tablett;BROAD;tablett für badewanne;1;1;100,0000%;€0,18;€0,18;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 19, 2023;Mai 19, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;marmor tablett;PHRASE;marmor tablett mit griff gold;9;1;11,1111%;€0,05;€0,05;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 23, 2023;Mai 23, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;marmor tablett;PHRASE;marmor tablett rund roségold;1;1;100,0000%;€0,14;€0,14;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
